review_text,review_rating,cooking_surface,portability,heat_control,durability,accessories
"Surprise surprise: Our grill was given to us as a house warming gift, and what a welcome surprise! It is SO nice and easy to learn and use.",5,1,1,1,1,1
Blackstone: Luv it but after 2 weeks the left has control valve and knob are not working properly,5,NA,NA,-1,NA,NA
Easy Assembly: Just got my Blackstone put together. Can’t wait to try it out. Assembly only took about 20 mins,5,NA,NA,NA,NA,NA
Great product: Very happy with my new purchase. Perfect size and affordable,5,1,NA,NA,NA,NA
Great grill: So far so Great! Easy setup and seasoning process.  The meal was easy to cook and delicious!,5,NA,NA,NA,NA,NA
Love it!!!: I have cooked on it every night since I bought it for my husband for an early Father’s Day gift!!,5,1,-1,1,1,1
Love: The griddle is the way and it’s very well made. Just wish the top was actually attached with a handle on the front,4,1,0,1,1,-1
It works: Just set it up and works. Had to shim a corner of flat top so it sat flat and didn't wiggle around.,4,NA,NA,1,1,NA
Great Value: I assembled right out of the box. The grill works great. Fantastic price for the bundle. This unit is the perfect size for our outdoor kitchen.,5,NA,NA,NA,NA,NA
"Beautiful and sturdy: Cannot wait to start up the griddle and cook breakfast,  lunch or dinner on this gas griddle",5,NA,NA,NA,NA,NA
Blackstone: We love it got it as a wedding gift and are so excited to use it,5,1,1,1,1,NA
New owner: This is our first Blackstone...I have heard nothing but good things so we bought one and going to give it a try,5,1,0,0,1,0
Just purchased: Size and price were great for our purposes. Cover was a little scratched when we opened. The rest of it looks good.,5,1,0,0,0,-1
"Blackstone: Great product! Very easy to assemble, it took me 30 minutes! Used it same day I purchased it!",5,1,1,1,1,-1
Happy Birthday to me: Have not had a chance to use it yet. But sure we are going to love it,5,NA,NA,NA,NA,NA
Great griddle: I love the ease of using the griddle and the way that nothing gets burned the way they can with grills. The food also does not get an overly smoky  flavor.,5,1,NA,1,NA,NA
Easy to put together: Easy to put together. Haven't really used it yet but looking forward to it.,4,NA,NA,NA,NA,NA
Everything is great except one thing: My left burner switch does not work at times and does not fit properly.,4,NA,NA,NA,NA,NA
The knobs are not working: I bought it today and after I assembled it I found out that the knobs won’t turn,1,NA,NA,NA,NA,NA
Looks and cooks great: The greatest griddle for cooking for a small group of people easy to adjust and move around by yourself,5,1,1,1,1,NA
"Easy to put together: One screwdriver and that’s it.

Haven’t used it yet.",4,NA,NA,NA,NA,NA
Griddle: We really enjoy our griddle so far it’s making for a fun way for our family to spend time together,5,1,0,1,1,0
"Simple assembly: Went together quickly. This the second blackstone grill we own. Works as advertised , thanks",5,NA,NA,NA,NA,NA
Great product: I enjoy using it. Cooks evenly and fast. Easier to clean than my last grill,5,1,NA,1,NA,NA
Wilson: One of our knobs came with a defect. It will not turn to ignite burner.,4,NA,NA,NA,-1,NA
My Blackstone: Have always wanted one and now that I have one it’s been worth the wait.,5,NA,NA,NA,NA,NA
Great buy!: We got this and have cooked every meal on it for the last 2 days!,5,1,0,1,1,-1
New grill: We just seasoned our grill but haven’t used it yet. Can’t wait to try it!,4,NA,NA,NA,NA,NA
Exactly what I thought: This thing is amazing!  Exactly what I have been wanting and I love it!,5,1,-1,1,1,1
Assembly: Super easy to assemble and very satisfied that it comes with a hard cover.,5,NA,NA,NA,NA,1
Where’s the screws?: It is strange that it has so few screws. It has holes without screws.,5,NA,NA,NA,NA,NA
Excited to try it: My first Blackstone. So excited to cook food on it and see if it’s better than a grill.,5,1,-1,1,1,0
"No wind guard: Griddle needs a wind guard. Do not put anything that will melt or burn on side shelfs !,",3,NA,NA,NA,NA,-1
Great Grill: Grill is a little short for me (I’m 6’4”)but other than that it’s absolutely one of the best I’ve owned. Great deal that includes the cover.,5,NA,NA,NA,NA,1
Good griddle: The only reason for 4 star is I wish the metal top was on hinges. Other than that this griddle is very nice and seems to be well built.,5,NA,NA,NA,1,NA
Blackstone 2 burner: So far so good. Purchased a two burner for quick and easy meals. Just finished seasoning the flat top.,5,1,0,1,1,-1
"Easy build: So far, I've only put it together. If it works as easy as that goes, I'll be very pleased.",5,NA,NA,NA,NA,NA
"First time user: I just finished seasoning the grill and have not cooked with it yet, but all the instructional videos are helpful.",5,NA,NA,NA,NA,NA
So far Great: We have used it twice and really enjoy it! Going to be a great addition to our outdoor living!,5,NA,NA,1,1,NA
28’ Grid/HC: Easy to follow instructions to set up and great apps to get you started.,5,NA,NA,NA,NA,NA
Amazing: Just bought and already happy. Simple to put together and easy to store.,5,NA,NA,NA,NA,NA
Looking forward to using.: I have been looking at it for a short time. Glad to own it.,5,NA,NA,NA,NA,NA
"Good 28"" grill: Easy to season, cook's evenly, and doesn't take up much space on the patio.",4,1,1,1,1,NA
Easy to put together: Super easy to put together even for one person. First griddle and super excited to use it!,5,NA,NA,NA,NA,NA
Omnivore 28 Griddle Week Limited Edition: Easy to set up. Seasoned well. Really nice design. Spatula set and cover comes with this edition.,5,NA,NA,NA,NA,1
Love it!: Have been wanting a blackstone since I first heard about them. I finally got one and it’s awesome!,5,1,0,1,1,0
Awesome Product: We love our new Blackstone. We have done breakfast and dinner on it and the meals come out great. Clean up is easy.,5,1,NA,1,1,NA
Birthday gift.: I haven't used it yet but am very excited to di breakfast for the grandkids,5,NA,NA,NA,NA,NA
Love it: Great griddle so far.  A little issue on turning the know but hoping it will get better.,4,1,0,1,1,-1
First Blackstone: My first time using a Blackstone and I have to say I’m impressed. Great grill and a great value!,5,1,0,1,1,0
Amazing deal: Couldn’t pass this deal up. Just brought this blackstone package home and I can’t wait to try it out!,5,NA,NA,NA,NA,NA
Easy set up: What can I say it’s a black stone griddle easy to assemble the H style burners really heat evenly,5,1,NA,1,NA,NA
Perfect Size: Got it for my wife and she Luvs it. Her perfect size and it came with a cover,5,NA,NA,NA,NA,1
Review: So far so good. Makes cooking some meals way easier than stove top. Have had no issues with the 28 inch cooktop,5,1,NA,1,1,NA
Nice grill: First time blackstone owner. Easy setup and seasoning,5,NA,NA,NA,NA,NA
"New Owner: We are impressed with our new griddle, and look forward to a great bbq experience",5,1,0,1,1,0
Great grill: Love it so far! So excited to make a variety of food on this!,5,NA,NA,NA,NA,NA
"I like: a beautiful piece of cooking machinery, but they should be instructions on how to ignite the machinery",5,1,-1,1,1,-1
New blackstone: Just got this pup dog and I haven’t gotten to use it yet but boy am I excited to!,5,NA,NA,NA,NA,NA
Awesome product!: We absolutely love our flat top grill and all the Blackstone accessories we purchased with it. It’s very easy to put together and to season!!,5,NA,NA,NA,NA,1
"28” Griddle: Nice Griddle, easy to assemble",5,NA,NA,NA,NA,NA
New Grill: Can't wait to try it!!,5,NA,NA,NA,NA,NA
Just as advertised: Just what what i wanted. The price was remarkable,5,NA,NA,NA,NA,NA
"Out with the old, in with the new way of outdoor cooking!: Replacing my standard gas grill for the Blackstone due to the variety of ways to cook any meal.",5,1,1,1,1,-1
Amazing!: I loved it very much! I think everyone should get one. We cooked some hotdogs on it and we loved them! Amen.,5,1,0,1,1,0
This is a great outdoor cooking appliance: Easy to use and easy to clean up,5,1,1,1,1,NA
Quick set up: Simple assembly with easy directions. Not many parts making it go quickly!,5,NA,NA,NA,NA,NA
New: Haven’t used enough to give a review yet but was easy to assemble.,5,NA,NA,NA,NA,NA
Easy assembly: Can't wait to start using! Super easy to put together which is awesome!,5,NA,NA,NA,NA,NA
"First one for us: So far so good, was packaged well, easy to put together, and first smash burgers were excellent.",5,NA,NA,NA,NA,NA
Easy Assembly: We have just opened the griddle and put together. Very easy assembly. Have not used griddle yet.,5,NA,NA,NA,NA,NA
"Blackstone 28: Love the griddle and bundle , but my ignitor doesn't work straight out of the box .",4,1,0,-1,0,1
Love the griddle: Great size for 2 people. Have the 36” and just added the 28” for our smaller cooks,5,1,0,0,0,0
"Blackstone 28"" Griddle: Shopped around for Blackstone and this bundle is a great deal. Ordered on line, ready within the hour, seamless pickup, Lowe's staff helped load. Super easy assembly and ready to go!",5,1,1,1,1,1
Favorite place to cook: This is my favorite place to cook and I never leave home without it,5,NA,NA,NA,NA,NA
They should buy one.: I bought two one for each of my boys and they just love it.,5,NA,NA,NA,NA,NA
"New grill!!: Got my girlfriend a black stone for her bday! She is so so excited, as am I :)",5,NA,NA,NA,NA,NA
Love it so excited to create amazing food on this griddle!: Perfect size for me and my family I loved how easy the blackstone was too assemble I will definitely recommend this to my friends and family!,5,1,NA,1,1,NA
New Purchase: Just got it home. Can really say how it will do yet,4,NA,NA,NA,NA,NA
Just purchased: Recently purchased my black stone. Assembly was easy. Haven’t used it yet.,5,NA,NA,NA,NA,NA
1st Time Use: Very easy to assemble.  Great tasting steak and vegetables as our first meal on the Blackstone.,5,1,NA,1,NA,NA
"So far so good: Bought this a few days ago, used it once and have been happy with it so far",5,NA,NA,NA,NA,NA
Blackstone review: Nice grill but I wish the cover was fastened with screws. Don't care for the hanging cover.,4,NA,NA,NA,NA,1
Blackstone: I’ve always dreamed to have a blackstone and now that I have one I ABSOLUTELY LOVE IT!,5,1,-1,1,1,-1
Gas knobs issue: Love the cooking surface but the knobs hit the mounting screws and will not turn on the gas. Can turn on with knobs off.,3,1,NA,-1,NA,NA
Not impressed out of the box: Flat top has a deep scratch. Flat not level. Needed to add washers to make it level. Uneven film on flat top still after scrubbing multiple times.,2,NA,NA,NA,-1,NA
"Not to pick your order up at Lower’s Harperwoods: 😟😞 Box all beat up, like it was there last year",5,NA,NA,NA,-1,NA
New blackstone: Wanted a new grill so bought a black stone and love it already,5,1,NA,NA,NA,NA
"28"" griddle with hard cover: I love it
I've wanted a griddle for 2 years
 Finally have one.",5,1,-1,1,1,1
Brand New: We purchased our assembled with the bundle. A very good price after comparing to competitors,4,NA,NA,NA,NA,NA
"Easy assembly: Our new griddle went together in less than an hour. Videos, manuals helpful. Can’t wait to try it out!",5,1,NA,NA,NA,NA
Can’t wait to use!: We just finished putting the grill together and seasoning the grill.,5,NA,NA,NA,NA,NA
Ready to use!: Haven’t used it yet. Just bought it yesterday. Looking forward to it.,4,NA,NA,NA,NA,NA
"Wobbly: Cooks amazing easy build, slightly wobbly all in all I like it",4,1,0,0,0,NA
"Just putting together, will share more after first use: Just got this item. Still need to test it out before I can give a full review.",4,NA,NA,NA,NA,NA
Excited to try my new blackstone: I’ve wanted a Blackstone for years. Just got one today! Can’t wait to give it a try!,5,1,-1,1,1,-1
Easy to assemble: Easiest gill(griddle) i have ever assembled no missing parts and everything fit perfectly. I haven’t used it yet still have to season it,5,1,NA,NA,NA,NA
Cheaply made product: The product arrived damaged. The paint on the cover was bubbled and missing in spots. The metal used to make the product was thin and light weight.,1,NA,NA,NA,-1,NA
"So Excited: I just got mine, I haven’t used it yet but I’m ready to!!",5,NA,NA,NA,NA,NA
Easy Setup: Quick and easy setup… looking forward to putting it to use this weekend.,4,NA,NA,NA,NA,NA
Review: So far so good. Only thing is one side gets hotter than the other side.,5,NA,NA,NA,NA,NA
Great product: We just cooked our first meal on our new Blackstone in was easy and great,5,1,0,1,1,-1
"Great Product: It was super easy to put together, had a little trouble getting it to light the first time but overall not bad.",4,0,0,0,0,0
Best grill out ever: Would recommend this to anyone I love it and don’t be fooled by the knock off brands out there only black stone here,5,1,1,1,1,-1
Great material: it was the easiest barbecue I ever had to put together made a good strong material,5,NA,NA,NA,1,NA
Just got a blackstone: Easy to setup but was missing a screw to the hood handle. Had to improvise and am overall happy!,4,NA,NA,NA,NA,NA
Great product: I used a blackstone for the first time at a fri day and had to run out and get my own.,5,1,-1,1,1,-1
Easy Maintenance: So much nicer than a standard grill. Very easy to clean.,5,NA,NA,NA,NA,NA
faulty parts: Right striker does not work. Right knob does not work,2,NA,NA,NA,NA,NA
"Went together easy and seems very sturdy: Have yet to cook in it, but excited to get started!",5,1,0,1,1,0
"It’s a griddle: It was easy to assemble hopefully it will last, we shall see",5,1,0,0,1,NA
28” Griddle w/hard cover: Nice product easy to put together and convert to your gas line.,5,NA,NA,NA,NA,NA
Awesome griddle: Easy assembly quick start up guide easy prep to season for cooking,5,1,0,1,1,0
It seems neat: I just got this. Just seasoned. We will see how it goes,5,NA,NA,NA,NA,NA
2355 review: Got it for a great deal. 28” is plenty of griddle space,5,1,NA,NA,NA,NA
Excited to try it: Very easy to build and looking forward to seeing it in action.,5,NA,NA,NA,NA,NA
I think it’s a good grill 👌: I think it’s very good for me because it cooks real good,5,1,-1,1,1,NA
"Easy to assemble: Haven’t used it yet, but assembly went fast and smooth. Feels and looks good quality",5,NA,NA,NA,NA,NA
Haven’t Tried Yet: I’m just now seasoning it but it seems solid and was easy to get started.,5,NA,NA,NA,1,NA
Upgrade: Have the 17 inch portable griddle. Upgraded to the 28 inch for more cooking space.,5,1,1,1,1,NA
New Blackstone: My son has one he cooks some awesome food on his . Just got mine going to cook on it real soon,5,1,NA,NA,NA,NA
Good griddle: It looks good and I’m looking forward to cooking on it. It was missing a screw so i took off one star,4,1,NA,NA,-1,NA
Excited to try this out: Setup out of the box was easier than I thought.,5,1,0,1,1,-1
Excellent!!: Love it 100% just had a cookout with the family! Perfect,5,1,1,1,1,-1
10/10: We cooked breakfast on it and can’t stop using it 😊,5,1,NA,1,NA,NA
Awesome!: Easy to use and always a great and simple way to cook!,5,1,1,1,1,NA
New Blackstone: Wanted one for a very long time ! Love cooking on it,5,1,0,1,1,-1
First timer: Takes longer than expected to season but completed and first cook was great.,4,NA,NA,NA,NA,NA
Amazing: So impressed and excited to use my black stone as often as possible!,5,NA,NA,NA,NA,NA
Just got it: Just picked up the 28” griddle will give review when I use it!,5,NA,NA,NA,NA,NA
Mothers Day gift: Got it as an early Mothers Day gift and CANNOT wait to use it!,5,1,0,0,0,0
Our New Grill: We love our new grill and so excited to use it throughout the summer,5,1,NA,1,1,NA
best product: Just used my griddle and love it. Very sturdy. And easy assemble. Food was fantastic,5,1,0,1,1,NA
"Great so far: 3 cooks in and loving it. Breakfast with the pancakes dispenser, egg rings and bacon press was superb.",5,1,NA,1,1,1
Nice griddle: Happy to not have the grate of a gas grill and all the cleaning that goes with it,5,1,1,1,1,NA
Limited edition bundle 28”: We just cooked on our grill for the first time last night and couldn’t wait! It was amazing!,5,1,NA,NA,NA,NA
"Regulator not working :(: Was really excited to bring home the Blackstone, but it will not light after many many attempts to reconnect the regulator",1,NA,NA,NA,NA,NA
Flat grilling perfection: Haven't used my grill yet but used a friends for a cookout. Everything was easy to cook  and came out great.,5,NA,NA,NA,NA,NA
Easy Assembly: Assembly was very easy and only took a few minutes,5,NA,NA,NA,NA,NA
Awesome can’t wait: Just purchased and can’t wait to make hibachi food and breakfast,5,NA,NA,NA,NA,NA
"Very nice: One of the handles broke off already, but other than that very excited",3,NA,NA,NA,-1,NA
"1st timers!: Quick, easy installation. We're 1st timers so here's to fun and exciting meals!!",5,NA,NA,NA,NA,NA
Best griddle: Best griddle I’ve used so far. Quick set up and I have the perfect seasoning.,5,NA,NA,NA,NA,NA
Easy set up: I have not used it yet but the set up easy and very simple,4,NA,NA,NA,NA,NA
Great grill: 28 inch grill is perfect size for my patio! Great price with bundle including cover.,5,1,NA,NA,NA,1
First impression: First impression is great. Couldn’t get the right side burners to ignite but they work now.,3,NA,NA,NA,NA,NA
New owner: It was easy to put together and the seasoning did not take long. First night cooking hamburgers.  Turned out great,5,1,NA,1,NA,NA
"First Blackstone Griddle: Brother in law has one and cooked out last year, and I loved it. Can't wait to use mine.",4,1,0,0,0,0
Haven’t used it yet: Putting it together now. So excited to test it out,4,NA,NA,NA,NA,NA
Great product: Can’t wait to start using for all my outdoor cooking,5,1,0,0,0,0
Flat top: Heard a lot about it. Everyone I talk to loved theres,5,NA,NA,NA,NA,NA
Love it!: So glad I pulled the trigger on one of these! Amazing cooking!!,5,1,NA,NA,NA,NA
Easy peasy: Wow putting this thing together was a snap can’t wait to use it,5,NA,NA,NA,NA,NA
"Brand new purchase: Got bought this grill, I’ve heard many rave reviews on it so far",5,NA,NA,NA,NA,NA
"Awesome: Wonderful item, easy to use I can cook just about anything on it!",5,1,NA,NA,NA,NA
"New to Griddle Nation: Just put mine together, but that was very easy. Looking forward to breaking it in this weekend!!!",5,NA,NA,NA,NA,NA
Initial use: One of two Gas control knob will not depress gas valve so the burner will ignite .,1,NA,NA,-1,NA,NA
Awesome: We love it! Cheese steaks are so much juicier & have more flavor! Can't wait to try other foods,5,NA,NA,NA,NA,NA
"Love it!: So far so good! Simple and easy, looking forward to using it well!",5,NA,NA,NA,NA,NA
Still putting it together: It’s making me do a review I haven’t even put it together yet.,5,NA,NA,NA,NA,NA
I love this grill!!!!!!: Just made breakfast for the first time and it actually makes cooking fun.,5,1,NA,1,NA,NA
Good purchase: Just got my new black stone and ready to make some delicious meals,5,NA,NA,NA,NA,NA
Love it.: Blackstone griddles are an essential component to any outdoor kitchen.,5,1,-1,1,1,0
"Blackstone heaven: I love love love my new Blackstone 
Happy birthday to me",5,1,0,0,0,0
"Great start: Easy to set up & season.
Connections work well, easy assembly",5,NA,NA,NA,NA,NA
Easy assembly: Put it together in less than an hour. Excited to use it!,4,NA,NA,NA,NA,NA
"New Product: Just got the blackstone, easy to assemble. Looking forward to using it!",4,NA,NA,NA,NA,NA
"Great grill: The grill is very nice, great size.  Love the even heat distribution",5,1,NA,1,NA,NA
"Setup: Very easy to set up amazing, unfortunate I can’t cook with the lid though.",4,1,0,1,1,-1
First Blackstone Griddle: I love this grill and it was easy to season it per the YouTube video.,5,NA,NA,NA,NA,NA
"Love It!: Just seasoned it today, ready for business.
Assembly was simple and straightforward.
Smash burgers tonight, great product!",5,NA,NA,NA,NA,NA
Attached Lid: Looks like a good product size wise etc. Would have appreciated a lid that’s attached and lifts up.,3,NA,NA,NA,NA,NA
East set up: Haven’t used yet but we have relatives who have them and we are so excited to start using it!,5,NA,NA,NA,NA,NA
didn't work brought back still waiting on refund: don't work,1,NA,NA,NA,-1,NA
Blackstone 28’ Grill: Love this grill. It is just the right size for our family!,5,1,0,1,1,-1
Love it so far! Only used it once but it is amazing!: I love our 28” Blackstone! Hope to use it a lot this summer!,5,NA,NA,NA,NA,NA
Great Grill: Easy to put together and great surface to cook on!,5,1,NA,NA,NA,NA
Awesome!: Can’t wait to cook veggies and rice on this thing!,5,1,-1,1,1,NA
Grillin and chillin: There’s just nothing like grilling on the blackstone. I’m never using a grate grille again.,5,1,NA,1,1,-1
Easy assembly: Easy to assemble and compact. Great for small household.,4,NA,NA,NA,NA,NA
"Great product, easy assembly!: Easy assembly right out of the box! Can’t wait to start cooking!",5,NA,NA,NA,NA,NA
New product: I can’t leave a review as o haven’t used the griddle yet.,4,NA,NA,NA,NA,NA
Just bought today: Easy assembly and seasoning process. Can't wait to start cooking on it,5,1,NA,NA,NA,NA
"Love it and we got a free kit with it: Wife wanted it, now I’m cooking with it and glad we did!",5,1,NA,1,1,1
Blackstone: I love it me and my family have been cooking every weekend.,5,1,NA,NA,NA,NA
"New Blackstone: We are just putting it together, but super excited to use it.",5,NA,NA,NA,NA,NA
Blackstone 28 inch griddle: Very easy to assemble and works perfectly for breakfast and smash burgers!,5,1,NA,1,1,NA
Good griddle: Cooked our first meal with it. Excellent smash burgers with caramelized onions!,5,1,NA,1,NA,NA
New to blackstone: Set up was easy! Have not had a chance to cook on it yet.,5,0,NA,NA,NA,NA
Excited: Just finished assembling this lovely thing. Looking forward to many a meal cooked on her.,5,1,1,1,1,NA
Loving it!: I love it!,5,NA,NA,NA,NA,NA
Great Grill: Grill works great so far. Even heating over the surface.,5,1,NA,1,NA,NA
Haven’t cooked on it yet: Have heard great things hoping this is as good as people say,5,0,0,0,0,0
Wish the 28” had hinges: Great looking product ( I do wish the hinges came with the 28” product),5,NA,NA,NA,NA,NA
