review_content,review_rating,raw_cooking_surface,overall_cooking_surface,cooking_surface_opinion,cooking_surface,raw_portability,overall_portability,portability_opinion,portability,raw_heat_control,overall_heat_control,heat_control_opinion,heat_control,raw_durability,overall_durability,durability_opinion,durability,raw_accessories,overall_accessories,accessories_opinion,accessories
Griddle: We really enjoy our griddle so far it’s making for a fun way for our family to spend time together[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that they really enjoy their griddle so far.
3. Sentiment on cooking_surface is NOT MENTIONED",POSITIVE,The reviewer mentions that they really enjoy their griddle so far.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not mention anything about the portability of the griddle.
3. Portability sentiment is NOT MENTIONED",POSITIVE,The reviewer does not mention anything about the portability of the griddle.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they really enjoy their griddle and that it is making for a fun way for their family to spend time together.
3. The reviewer does not specifically mention the heat_control aspect of the griddle, so the sentiment on heat_control is NOT MENTIONED.",POSITIVE,The reviewer mentions that they really enjoy their griddle and that it is making for a fun way for their family to spend time together.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Sentiment on durability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not mention any specific accessories in the review.
3. Sentiment on accessories is NOT MENTIONED",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
Wow: griddle part is uneven. had to use washers to stablize[Rating - 5/5],5,"1. The overall review is NEGATIVE
2. The reviewer mentions that the griddle part is uneven and had to use washers to stabilize it.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,The reviewer mentions that the griddle part is uneven and had to use washers to stabilize it.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the griddle part is uneven and had to use washers to stabilize it.
3. The reviewer's opinion on the portability is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the griddle part is uneven and had to use washers to stabilize it.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the griddle part is uneven and had to use washers to stabilize it.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,The reviewer mentions that the griddle part is uneven and had to use washers to stabilize it.,NEGATIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle part is uneven and had to use washers to stabilize it.
3. The reviewer's opinion on durability is NEGATIVE",POSITIVE,The reviewer mentions that the griddle part is uneven and had to use washers to stabilize it.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that they had to use washers to stabilize the griddle part, indicating that the griddle part was uneven.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that they had to use washers to stabilize the griddle part, indicating that the griddle part was uneven.",NOT MENTIONED
"Brand new: Just put the grill together, no problem. About to condition it.[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that they are about to condition the grill.
3. Sentiment on cooking_surface is NOT MENTIONED",POSITIVE,The reviewer mentions that they are about to condition the grill.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions putting the grill together and conditioning it, but does not specifically mention portability.
3. Sentiment on portability is NOT MENTIONED",POSITIVE,"The reviewer mentions putting the grill together and conditioning it, but does not specifically mention portability.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they are about to condition the grill, which implies they are about to test the heat_control feature.
3. The reviewer's opinion on the heat_control is NOT MENTIONED",POSITIVE,"The reviewer mentions that they are about to condition the grill, which implies they are about to test the heat_control feature.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions putting the grill together with no problem and is about to condition it, indicating that the reviewer is satisfied with the product's durability.
3. Sentiment on durability is POSITIVE",POSITIVE,"The reviewer mentions putting the grill together with no problem and is about to condition it, indicating that the reviewer is satisfied with the product's durability.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they just put the grill together and are about to condition it, but does not specifically mention any accessories.
3. Sentiment on accessories is NOT MENTIONED",POSITIVE,"The reviewer mentions that they just put the grill together and are about to condition it, but does not specifically mention any accessories.",NOT MENTIONED
Awesome: Used it for the first time last night. It was so awesome[Rating - 4/5],4,"1. The overall review is POSITIVE
2. The reviewer mentions using the product for the first time last night.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",POSITIVE,The reviewer mentions using the product for the first time last night.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention anything about the portability of the griddle.
3. The sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention anything about the portability of the griddle.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions using the product for the first time last night.
3. The reviewer does not specifically mention the heat_control aspect of the product, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions using the product for the first time last night.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. The reviewer's opinion on durability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions using the product for the first time last night.
3. The reviewer does not mention anything about the accessories, so the sentiment on accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions using the product for the first time last night.,NOT MENTIONED
"Beautiful and sturdy: Cannot wait to start up the griddle and cook breakfast,  lunch or dinner on this gas griddle[Rating - 5/5]",5,"1. The overall review is POSITIVE
2. The reviewer mentions that the cooking surface is beautiful and sturdy.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,The reviewer mentions that the cooking surface is beautiful and sturdy.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NEUTRAL",POSITIVE,The reviewer does not specifically mention portability in the review.,NEUTRAL,"1. The overall review is POSITIVE
2. The reviewer mentions that they cannot wait to start up the griddle and cook breakfast, lunch, or dinner on it.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,"The reviewer mentions that they cannot wait to start up the griddle and cook breakfast, lunch, or dinner on it.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle is beautiful and sturdy.
3. The reviewer's opinion on the durability is POSITIVE.",POSITIVE,The reviewer mentions that the griddle is beautiful and sturdy.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they cannot wait to start up the griddle and cook breakfast, lunch, or dinner on it.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,"The reviewer mentions that they cannot wait to start up the griddle and cook breakfast, lunch, or dinner on it.",NOT MENTIONED
"Blackstone: Great product! Very easy to assemble, it took me 30 minutes! Used it same day I purchased it![Rating - 5/5]",5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the product is easy to assemble and that they used it the same day they purchased it.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",POSITIVE,The reviewer mentions that the product is easy to assemble and that they used it the same day they purchased it.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the product is very easy to assemble and that it took them only 30 minutes.
3. The reviewer's opinion on the portability is POSITIVE, as they were able to use the griddle on the same day they purchased it, indicating that it was easy to move and transport.",POSITIVE,The reviewer mentions that the product is very easy to assemble and that it took them only 30 minutes.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the product is very easy to assemble and that they used it the same day they purchased it.
3. The reviewer does not specifically mention the heat_control aspect of the product, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions that the product is very easy to assemble and that they used it the same day they purchased it.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the product is ""Great"" and ""Very easy to assemble.""
3. The reviewer does not specifically mention durability, so the sentiment on durability is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the product is ""Great"" and ""Very easy to assemble.""",NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer does not mention any accessories in the review.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
Happy Birthday to me: Have not had a chance to use it yet. But sure we are going to love it[Rating - 5/5],5,"1. The overall review is POSITIVE.
2. The reviewer mentions that they have not had a chance to use the cooking surface yet.
3. The reviewer does not provide an opinion on the cooking_surface, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions that they have not had a chance to use the cooking surface yet.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they have not had a chance to use the griddle yet.
3. The reviewer does not mention anything specific about the portability of the griddle, so the sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer mentions that they have not had a chance to use the griddle yet.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they have not had a chance to use the product yet.
3. The reviewer does not mention their opinion on the heat_control.",POSITIVE,The reviewer mentions that they have not had a chance to use the product yet.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they have not had a chance to use the griddle yet.
3. The reviewer does not mention their opinion on the durability, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions that they have not had a chance to use the griddle yet.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they have not had a chance to use the accessories yet.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions that they have not had a chance to use the accessories yet.,NOT MENTIONED
Looks and cooks great: The greatest griddle for cooking for a small group of people easy to adjust and move around by yourself[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle has a great cooking surface.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer mentions that the griddle has a great cooking surface.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the griddle is easy to adjust and move around by yourself.
3. The reviewer's opinion on the portability is POSITIVE.",POSITIVE,The reviewer mentions that the griddle is easy to adjust and move around by yourself.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the griddle is easy to adjust and move around by yourself.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that the griddle is easy to adjust and move around by yourself.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle is easy to adjust and move around by yourself.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,The reviewer mentions that the griddle is easy to adjust and move around by yourself.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the griddle is great for cooking for a small group of people and is easy to adjust and move around by yourself.
3. The reviewer does not mention any specific accessories, so the sentiment on accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions that the griddle is great for cooking for a small group of people and is easy to adjust and move around by yourself.,NOT MENTIONED
Awesome Product: We love our new Blackstone. We have done breakfast and dinner on it and the meals come out great. Clean up is easy.[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that they have done breakfast and dinner on the Blackstone and the meals come out great.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer mentions that they have done breakfast and dinner on the Blackstone and the meals come out great.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that they have done breakfast and dinner on the Blackstone griddle and the meals come out great.
3. The reviewer's opinion on the heat_control is POSITIVE. They mention that the meals come out great, indicating that the heat_control is effective in providing even heat distribution and consistent cooking results.",POSITIVE,The reviewer mentions that they have done breakfast and dinner on the Blackstone griddle and the meals come out great.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they have used the Blackstone for breakfast and dinner, indicating that they have used it multiple times.
3. The reviewer's opinion on durability is POSITIVE, as they have used the griddle for multiple meals and have had no issues with it.",POSITIVE,"The reviewer mentions that they have used the Blackstone for breakfast and dinner, indicating that they have used it multiple times.",POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not mention any specific accessories in the review.
3. Since the reviewer does not mention any accessories, the sentiment on accessories is NOT MENTIONED.",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
Awesome product!: We absolutely love our flat top grill and all the Blackstone accessories we purchased with it. It’s very easy to put together and to season!![Rating - 5/5],5,"1. The overall review is POSITIVE.
2. The reviewer mentions that they love their flat top grill and all the Blackstone accessories they purchased with it.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,The reviewer mentions that they love their flat top grill and all the Blackstone accessories they purchased with it.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the flat top grill has ""even heat distribution and consistent cooking results.""
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,"The reviewer mentions that the flat top grill has ""even heat distribution and consistent cooking results.""",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they love their flat top grill and all the Blackstone accessories they purchased with it.
3. The reviewer's opinion on the durability is POSITIVE.",POSITIVE,The reviewer mentions that they love their flat top grill and all the Blackstone accessories they purchased with it.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that they love all the Blackstone accessories they purchased with the flat top grill.
3. The reviewer's opinion on the accessories is POSITIVE.",POSITIVE,The reviewer mentions that they love all the Blackstone accessories they purchased with the flat top grill.,POSITIVE
The knobs are not working: I bought it today and after I assembled it I found out that the knobs won’t turn[Rating - 1/5],1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the knobs are not working.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the knobs are not working.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention anything about the portability of the griddle.
3. The sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention anything about the portability of the griddle.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the knobs are not working, indicating a problem with the heat_control.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,"The reviewer mentions that the knobs are not working, indicating a problem with the heat_control.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the knobs are not working after assembling the product.
3. The reviewer's opinion on durability is NEGATIVE.",NEGATIVE,The reviewer mentions that the knobs are not working after assembling the product.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the knobs are not working.
3. The reviewer does not mention any opinion on the accessories.",NEGATIVE,The reviewer mentions that the knobs are not working.,NOT MENTIONED
Review: So far so good. Makes cooking some meals way easier than stove top. Have had no issues with the 28 inch cooktop[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that the 28 inch cooktop makes cooking some meals way easier than stove top.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer mentions that the 28 inch cooktop makes cooking some meals way easier than stove top.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the cooktop makes cooking some meals way easier than stove top.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that the cooktop makes cooking some meals way easier than stove top.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the 28 inch cooktop makes cooking some meals way easier than stove top.
3. The reviewer's opinion on durability is NOT MENTIONED",POSITIVE,The reviewer mentions that the 28 inch cooktop makes cooking some meals way easier than stove top.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not mention any accessories in the review.
3. Not mentioned",POSITIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
Cheaply made product: The product arrived damaged. The paint on the cover was bubbled and missing in spots. The metal used to make the product was thin and light weight.[Rating - 1/5],1,"1. The overall review is NEGATIVE
2. The reviewer mentions that the metal used to make the product was thin and light weight, but does not specifically mention the cooking surface.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that the metal used to make the product was thin and light weight, but does not specifically mention the cooking surface.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the metal used to make the product was thin and lightweight.
3. The reviewer's opinion on portability is NEGATIVE.",NEGATIVE,The reviewer mentions that the metal used to make the product was thin and lightweight.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. The sentiment on heat_control is NOT MENTIONED",NEGATIVE,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the product is cheaply made, with thin and lightweight metal used in its construction.
3. The reviewer's opinion on the durability is NEGATIVE",NEGATIVE,"The reviewer mentions that the product is cheaply made, with thin and lightweight metal used in its construction.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer talks about the cover being damaged, with bubbled and missing paint, and the metal used being thin and light weight.
3. The reviewer's opinion on the accessories is NEGATIVE",NEGATIVE,"The reviewer talks about the cover being damaged, with bubbled and missing paint, and the metal used being thin and light weight.",NEGATIVE
New user: Just bought and set up. So far product looks good.[Rating - 5/5],5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the product looks good so far.
3. The reviewer does not specifically mention the cooking_surface, so the sentiment on cooking_surface is NOT MENTIONED.",POSITIVE,The reviewer mentions that the product looks good so far.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the product looks good so far.
3. The reviewer does not mention anything specific about the heat_control, so the sentiment on heat_control is NOT MENTIONED.",POSITIVE,The reviewer mentions that the product looks good so far.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Sentiment on durability is NEUTRAL",POSITIVE,The reviewer does not specifically mention durability in the review.,NEUTRAL,"1. The overall review is POSITIVE.
2. The reviewer mentions that they just bought and set up the product, but does not specifically mention any accessories.
3. The reviewer does not mention any opinion on the accessories, so the sentiment on accessories is NOT MENTIONED.",POSITIVE,"The reviewer mentions that they just bought and set up the product, but does not specifically mention any accessories.",NOT MENTIONED
New Blackstone: Easy enough to assemble.  We will try it out tomorrow.[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that the New Blackstone is easy enough to assemble and they will try it out tomorrow.
3. The reviewer does not mention their opinion on the cooking_surface.",POSITIVE,The reviewer mentions that the New Blackstone is easy enough to assemble and they will try it out tomorrow.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the New Blackstone is easy enough to assemble.
3. The reviewer does not specifically mention the portability of the product, so the sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer mentions that the New Blackstone is easy enough to assemble.,NOT MENTIONED,"1. The overall review is NEUTRAL
2. The reviewer does not specifically mention anything about the heat_control aspect of the product.
3. The reviewer's opinion on the heat_control is NOT MENTIONED",NEUTRAL,The reviewer does not specifically mention anything about the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEUTRAL
2. The reviewer mentions that the griddle is easy enough to assemble.
3. The reviewer does not mention their opinion on the durability.",NEUTRAL,The reviewer mentions that the griddle is easy enough to assemble.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the New Blackstone is easy enough to assemble and they will try it out tomorrow.
3. The reviewer does not mention any specific opinion on the accessories. Therefore, the sentiment on accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions that the New Blackstone is easy enough to assemble and they will try it out tomorrow.,NOT MENTIONED
New: Haven't used it yet but I'm looking forward to it.[Rating - 5/5],5,"1. The overall review is NEUTRAL.
2. The reviewer mentions that they haven't used the product yet.
3. The reviewer does not mention anything specific about the cooking_surface, so the sentiment on cooking_surface is NOT MENTIONED.",NEUTRAL,The reviewer mentions that they haven't used the product yet.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they haven't used the griddle yet.
3. The reviewer does not mention their opinion on the portability, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions that they haven't used the griddle yet.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer does not mention anything specific about the heat_control.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEUTRAL,The reviewer does not mention anything specific about the heat_control.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions that they haven't used the product yet.
3. The reviewer does not provide an opinion on the durability of the product. Sentiment on durability is NOT MENTIONED.",NEUTRAL,The reviewer mentions that they haven't used the product yet.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions that they haven't used the accessories yet.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",NEUTRAL,The reviewer mentions that they haven't used the accessories yet.,NOT MENTIONED
"First Time: Ez assembly, did with one person took maybe 20 minutes.[Rating - 5/5]",5,"1. The overall review is POSITIVE.
2. The reviewer mentions that the assembly of the product was easy and quick.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",POSITIVE,The reviewer mentions that the assembly of the product was easy and quick.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the assembly of the griddle was easy and quick.
3. The reviewer's opinion on the portability is POSITIVE, as they were able to assemble it easily with one person in a short amount of time.",POSITIVE,The reviewer mentions that the assembly of the griddle was easy and quick.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the assembly of the product was easy and quick.
3. The reviewer does not mention anything specific about the heat_control, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions that the assembly of the product was easy and quick.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the assembly was easy and quick, taking only 20 minutes with one person.
3. The reviewer does not specifically mention durability, so the sentiment on durability is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the assembly was easy and quick, taking only 20 minutes with one person.",NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the assembly was easy and quick, taking only 20 minutes with one person.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,"The reviewer mentions that the assembly was easy and quick, taking only 20 minutes with one person.",NOT MENTIONED
Great!: Great grill and easy to assemble. Excited to try it.[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that the grill is great and easy to assemble.
3. The reviewer does not specifically mention the cooking_surface, so it is NOT MENTIONED.",POSITIVE,The reviewer mentions that the grill is great and easy to assemble.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the grill is easy to assemble.
3. The reviewer's opinion on portability is POSITIVE.",POSITIVE,The reviewer mentions that the grill is easy to assemble.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention the heat_control aspect in the review.
3. Since the reviewer does not mention the heat_control aspect, the sentiment on heat_control is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention the heat_control aspect in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Since the reviewer does not mention durability, the sentiment on durability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer does not mention any specific accessories in the review.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer does not mention any specific accessories in the review.,NOT MENTIONED
Great grill easy to assemble: It’s a great grill very easy to assemble cooks fast[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer mentions that the grill is easy to assemble and cooks fast.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,The reviewer mentions that the grill is easy to assemble and cooks fast.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the grill is easy to assemble.
3. The reviewer's opinion on the portability is POSITIVE.",POSITIVE,The reviewer mentions that the grill is easy to assemble.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions that the grill cooks fast.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that the grill cooks fast.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention durability in the review.
3. Sentiment on durability is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention durability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the grill is easy to assemble and cooks fast.
3. The reviewer does not mention any accessories, so the sentiment on accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions that the grill is easy to assemble and cooks fast.,NOT MENTIONED
Blackstone: We love it got it as a wedding gift and are so excited to use it[Rating - 5/5],5,"1. The overall review is POSITIVE.
2. The reviewer mentions that they are excited to use the Blackstone, which likely includes the cooking surface.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,"The reviewer mentions that they are excited to use the Blackstone, which likely includes the cooking surface.",POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that they are excited to use the griddle, which implies that they may have plans to move or transport it.
3. Sentiment on portability is NOT MENTIONED",POSITIVE,"The reviewer mentions that they are excited to use the griddle, which implies that they may have plans to move or transport it.",NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they are excited to use the Blackstone griddle.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",POSITIVE,The reviewer mentions that they are excited to use the Blackstone griddle.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they received the Blackstone griddle as a wedding gift and are excited to use it.
3. The reviewer does not specifically mention the durability of the griddle, so the sentiment on durability is NOT MENTIONED.",POSITIVE,The reviewer mentions that they received the Blackstone griddle as a wedding gift and are excited to use it.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that they received the Blackstone as a wedding gift and are excited to use it.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions that they received the Blackstone as a wedding gift and are excited to use it.,NOT MENTIONED
Excited to try it: My first Blackstone. So excited to cook food on it and see if it’s better than a grill.[Rating - 5/5],5,"1. The overall review is POSITIVE.
2. The reviewer mentions that they are excited to cook food on the Blackstone and see if it's better than a grill.
3. The reviewer's opinion on the cooking_surface is POSITIVE.",POSITIVE,The reviewer mentions that they are excited to cook food on the Blackstone and see if it's better than a grill.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer mentions being excited to try the Blackstone griddle for the first time and comparing it to a grill.
3. The reviewer does not mention portability specifically, so the sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer mentions being excited to try the Blackstone griddle for the first time and comparing it to a grill.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions being excited to cook food on the Blackstone griddle and see if it's better than a grill.
3. The reviewer's opinion on the heat_control is NOT MENTIONED",POSITIVE,The reviewer mentions being excited to cook food on the Blackstone griddle and see if it's better than a grill.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions being excited to try the Blackstone griddle for the first time.
3. The reviewer does not mention anything specific about the durability of the griddle, so the sentiment on durability is NOT MENTIONED.",POSITIVE,The reviewer mentions being excited to try the Blackstone griddle for the first time.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions being excited to try their first Blackstone griddle and is looking forward to cooking food on it to see if it's better than a grill.
3. The reviewer does not mention any specific accessories, so the sentiment on accessories is NOT MENTIONED.",POSITIVE,The reviewer mentions being excited to try their first Blackstone griddle and is looking forward to cooking food on it to see if it's better than a grill.,NOT MENTIONED
